Marca temporal,¿Cuál es su sexo?,¿Qué edad tiene? ,¿Cuál es su peso? (Ingrese el valor entero en kg ),¿Cuál es su estatura? (Ingrese el valor en cm),¿Qué carrera está estudiando?,¿En qué ciclo académico se encuentra actualmente?,¿En cuántos créditos se ha matriculado este ciclo ?,¿En cuántos cursos se ha matriculado este ciclo?,"¿Cuántas horas a la semana dedica a estudiar, sin contar las horas de clase? (Ingresa el valor en número de horas)",¿Tiene conocimiento sobre la quinua?,¿Consume quinua?,¿A qué factor se debe su no consumo de quinua?,¿Con qué frecuencia consumes quinua?,¿Qué tipo de quinua sueles consumir?,¿Cuál es la principal razón por la que consumes quinua?,¿Dónde sueles comprar la quinua que consumes?,¿Qué tan informado/a estás sobre los beneficios nutricionales de la quinua?,¿Cúal consideras que es el principal beneficio de consumir quinua?,¿Qué prioridad o relevancia le das al consumo de la quinua en comparación con otros alimentos?,¿Consideras que el consumo de quinua puede tener alguna relacion con tu desempeño en los estudios?,¿Cuál es la relación que tiene el consumo de quinua con respecto a los estudios?,¿Cuál es el impacto que tiene la quinua en su salud?,¿Cúal sería su opinión respecto al consumo de quinua?,Puntuación
18/09/2023 22:26:51,Masculino,19,80,161,Ingeniería Mecánica,7,26,7,8,Si,Sí,,2,Blanca,Por el almuerzo,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:45:52,Masculino,22,82,175,Ingenieria Mecánica,7,18,5,12,Si,Sí,,2,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 23:06:55,Masculino,20,67,163,Ing energia ,6,15,5,4,Si,Sí,,3,Roja,Por sabor,Tienda,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento con mayor energía,Me siento bien en cuanto a salud física,No habría diferencia si lo incluyes en tu dieta o no,
18/09/2023 23:37:37,Masculino,22,80,1.77,Ingeniería mecánica ,8,20,5,6,Si,Sí,,1,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Disminuye el cansancio,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 0:07:20,Masculino,21,76,178,Ingeniería Industrial,7,26,7,6,Si,Sí,,1,Blanca,Por salud,Tienda,2,Ayuda a prevenir enfermedades,3,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 8:17:47,Masculino,24,74,172,Ing. Industrial,9,22,6,15,Si,No,No se prepararla,3,Blanca,Por tradicion,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 8:42:41,Femenino,22,60,162,Ingeniería química ,10,4,1,10,Si,Sí,,3,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:14:12,Femenino,19,50,157,Ing. Ambiental ,4,22,7,6,Si,Sí,,2,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:16:52,Masculino,24,68,173,Ing de la Energía,5,19,6,15,Si,Sí,,2,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:21:19,Femenino,22,64,168,Ingeniería Industrial,7,18,6,10,Si,Sí,,3,Blanca,Por costumbre,Desde ayacucho,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:22:05,Femenino,20,47,145,Ingeniería de la Energía,3,25,7,15,Si,No,No puedo conseguirla,2,Blanca,,,,"Aporta un alto contenido de proteinas, vitaminas y minerales",1,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 11:28:05,Masculino,20,72,175,Computer science,5,18,5,7,Si,Sí,,2,Blanca,Por tradicion,Mercado,4,Es fácil de incorporar en la dieta,,,,,,
19/09/2023 12:02:53,Masculino,18,81,180,Ingeniería civil ,3,21,6,5,Si,Sí,No me gusta el sabor,2,Roja,Por tradicion,Mercado,2,En ideal cuando se hace deporte,2,3,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 12:05:35,Masculino,19,60,165,Ingeniería Civil ,3,26,8,67,Si,Sí,No puedo conseguirla,1,Blanca,Por sabor,Mercado,1,"Aporta un alto contenido de proteinas, vitaminas y minerales",1,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 12:06:06,Masculino,19,59,165,ING civil,3,26,8,12,Si,Sí,No me gusta el sabor,3,Roja,Por tradicion,Tienda,3,En ideal cuando se hace deporte,2,4,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 13:19:53,Femenino,21,60,1.55,Ingeniería civil ,5,26,7,7,Si,Sí,,3,Blanca,Por sabor,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Me ayuda a estar más atento,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 15:43:00,Masculino,23,70,1.65,Ing. De la Energía ,5,17,4,8,Si,Sí,,4,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
20/09/2023 16:08:08,Femenino,20,46.500,1.48,ing. civil ,5,23,7,5,Si,Sí,,3,Blanca,Por costumbre,Tienda,3,Es fácil de incorporar en la dieta,4,4,Me ayuda a estar más atento,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
20/09/2023 16:19:10,Masculino,19,65,164,Ing. Civil,5,24,7,16,Si,Sí,,3,Blanca,Por sabor,Tienda,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
20/09/2023 20:41:41,Femenino,19,51,154,Ingeniería civil ,5,22,5,12,Si,Sí,,4,Roja,Por sabor,Tienda,4,En ideal cuando se hace deporte,3,4,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
20/09/2023 20:42:53,Prefiero no decirlo,20,65,165,Ing civil ,5,20,5,8,Si,Sí,No se prepararla,3,Blanca,Por tradicion,Tienda,3,En ideal cuando se hace deporte,3,3,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,"No es necesario incluirlo en nuestra dieta, ya hay mucho aliemntos que nos aportan lo mismo",
21/09/2023 19:02:04,Masculino,20,73,170,Ingeniería Mecatrónica ,3,25,7,5,Si,Sí,,3,Blanca,Por salud,Tienda,3,Ayuda a prevenir enfermedades,3,3,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
21/09/2023 19:04:10,Masculino,18,72,1.77,Ingeniería Mecatrónica ,3,24,7,2,Si,Sí,,3,Blanca,Por sabor,Tienda,3,En ideal cuando se hace deporte,3,2,Disminuye el cansancio,He notado mejorías en mi piel,No habría diferencia si lo incluyes en tu dieta o no,
21/09/2023 19:06:07,Masculino,18,74,1.77,Mecatrónica creo,3,25,7,38,Si,Sí,,3,Blanca,Por costumbre,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:47:06,Masculino,22,69,170,Mecatrónica ,7,26,7,8,Si,Sí,,4,Blanca,Por salud,Mercado,3,Es fácil de incorporar en la dieta,4,3,Me siento con mayor energía,He podido regular mi peso,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 15:48:31,Masculino,20,65,1.70,Ing. Mecánica,7,25,7,6,Si,Sí,,5,Blanca,Por sabor,Carritos desayuneros,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:50:22,Masculino,19,85,1.85,Ingeniería ambiental ,2,19,6,3,Si,Sí,,4,Blanca,Por costumbre,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:54:12,Femenino,18,78,170,Ingenieria Ambiental,2,20,6,8,Si,Sí,,2,Blanca,Por costumbre,Tienda,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Disminuye el cansancio,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:54:50,Femenino,17,58,1.57,Ingenieria Ambiental,2,17,5,3,Si,Sí,,3,Blanca,Por salud,Tienda,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:54:59,Masculino,17,70,180,Bioingeniero ,2,21,7,10,Si,Sí,,4,Blanca,Por salud,Emolientero ,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:55:10,Masculino,20,80,1.50,Ciencias de la computación ,2,21,6,0,Si,Sí,,4,Blanca,Por costumbre,Carretillas,1,Ayuda a prevenir enfermedades,4,5,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:56:11,Femenino,17,40,1.60,Ingeniería ambiental ,2,15,5,7,Si,Sí,No puedo conseguirla,3,Blanca,Por sabor,Mercado,3,En ideal cuando se hace deporte,3,3,Me ayuda a estar más atento,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:56:59,Femenino,17,61,160,Ingeniería ambiental ,2,17,5,8,Si,Sí,,4,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me ayuda a estar más atento,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:57:01,Masculino,18,55,165,ingeniería ambiental ,2,19,6,20,Si,Sí,,4,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 15:57:02,Masculino,17,74,179,Ingeniería mecánica ,2,16,5,6,Si,Sí,,4,Blanca,Por costumbre,Bebida en carrellita,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:00:49,Masculino,22,92,178,Bioingeniería ,9,16,4,10,Si,Sí,,2,Blanca,Por costumbre,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",1,2,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:05:13,Masculino,18,56,165,Computer science,4,20,6,4,Si,Sí,,2,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,1,,,"No es necesario incluirlo en nuestra dieta, ya hay mucho aliemntos que nos aportan lo mismo",
22/09/2023 16:05:53,Masculino,19,75,164,Ciencias de la Computación ,4,16,4,8,No,Sí,,2,Blanca,Por costumbre,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:06:02,Masculino,18,90,181,Ciencias de la computación,4,23,6,6,Si,Sí,,3,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,2,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:07:00,Femenino,20,60,1.60,Administración y Negocios Digitales ,3,22,6,7,No,Sí,No se prepararla,2,Blanca,Por sabor,Mercado,3,En ideal cuando se hace deporte,2,4,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:07:43,Masculino,18,70,1.70,ING. Mecatrónica ,3,22,6,4,Si,Sí,,2,Blanca,Por costumbre,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,4,Disminuye el cansancio,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:08:09,Femenino,20,70,1.60,admin,4,22,6,0,No,No,No se prepararla,1,Blanca,Por costumbre,Tienda,1,Ayuda a regular el peso,1,1,Entiendo mejor las clases,He notado mejorías en mi piel,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 16:11:26,Masculino,20,70,166,Civil ,4,5,5,4,Si,Sí,,2,Blanca,Por costumbre,Mercado,2,Ayuda a regular el peso,2,3,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:11:57,Pepsi,18,70,170,Cs,4,18,4,3,No,Sí,,3,Roja,Por sabor,Mercado,1,Es fácil de incorporar en la dieta,3,3,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:16:19,Femenino,18,60,1.69,Ingeniería civil,4,18,5,55,No,Sí,,3,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento mas satisfecho en apetito,He notado mejorías en mi piel,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:17:43,Masculino,18,55,1.67,Civil,4,23,7,6,Si,Sí,,3,Negra,Por salud,Mercado,2,Ayuda a prevenir enfermedades,3,4,Entiendo mejor las clases,He podido regular mi peso,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:21:47,Femenino,19,52,1.6 ,Bioingeniería ,3,20,7,6,Si,Sí,No me gusta el sabor,3,Roja,Por costumbre,Tienda,4,En ideal cuando se hace deporte,3,2,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 16:21:53,Masculino,19,60,1.7,Ingeniería Civil,6,21,6,6,Si,Sí,,3,Blanca,Por costumbre,Tienda,3,Es fácil de incorporar en la dieta,3,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:22:27,Masculino,19,106,168,Ingeniera mecatrónica,6,11,3,25,Si,Sí,No puedo conseguirla,2,Blanca,Por sabor,Mercado,3,Es fácil de incorporar en la dieta,3,4,Me siento mas satisfecho en apetito,He podido regular mi peso,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:22:29,Masculino,20,85,162,Mecatronica ,4,16,4,10,Si,Sí,,2,Blanca,Por sabor,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,2,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:24:25,Masculino,20,55,1.60,Ingeniería Mecatrónica ,5,20,5,7,No,Sí,,5,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Disminuye el cansancio,Me siento bien en cuanto a salud física,"No es necesario incluirlo en nuestra dieta, ya hay mucho aliemntos que nos aportan lo mismo",
22/09/2023 16:24:33,Masculino,21,75,172,Ingeniería mecánica,5,16,4,14,Si,Sí,,3,Blanca,Por sabor,Mercado,3,Ayuda a prevenir enfermedades,1,3,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:25:00,Masculino,19,76,1.77,Ingeniería Industrial ,4,19,5,6,Si,Sí,No se prepararla,3,Negra,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,Ayuda a prevenir enfermedades,4,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:26:26,Masculino,18,81,180,Ing Industrial,4,18,5,8,Si,No,No se prepararla,2,Negra,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",,,,,,
22/09/2023 16:28:14,Masculino,18,84,1.82,Ing. Civil,5,25,7,8,Si,Sí,,3,Blanca,Por salud,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,5,Me siento con mayor energía,He podido regular mi peso,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:28:18,Femenino,22,52,1.50,Bioingenieria ,5,20,5,12,Si,Sí,,4,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento mas satisfecho en apetito,He notado mejorías en mi piel,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:30:11,Masculino,17,68,175,Ciencias de la Computación ,2,20,6,9,Si,No,No me gusta el sabor,1,Blanca,Por tradicion,"Supermercado (Wong, Metro, Plaza Vea, etc)",5,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,2,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 16:31:17,Masculino,17,61,165,Ciencia de la computación ,2,20,6,3,Si,Sí,,4,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,2,Me ayuda a estar más atento,No me enfermo con mucha frecuencia,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 16:31:56,Masculino,19,66.5,1.69,Ciencias de la Computación ,2,22,7,5,Si,Sí,,4,Blanca,Por tradicion,Mercado,4,Es fácil de incorporar en la dieta,3,3,Disminuye el cansancio,He podido regular mi peso,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:35:16,Masculino,18,70,172,Ciencias de la computación ,2,20,6,25,No,Sí,,3,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,En ideal cuando se hace deporte,3,4,Me siento con mayor energía,He notado mejorías en mi piel,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:37:03,Masculino,17,60,1.80,Computacion ,2,18,5,3,No,Sí,No se prepararla,3,Blanca,Por salud,Mercado,3,Ayuda a prevenir enfermedades,4,5,Me siento mas satisfecho en apetito,He podido regular mi peso,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:38:35,Masculino,17,80,183,Industrial ,2,17,5,12,Si,Sí,,2,Blanca,Tengo hambre ,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me ayuda a estar más atento,Me siento bien en cuanto a salud física,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:39:31,Masculino,20,55,172,Bioingeniería,5,18,7,5,Si,Sí,,3,Blanca,Por sabor,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me ayuda a estar más atento,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:40:13,Masculino,19,64,176,Energía ,3,20,6,16,No,Sí,,3,Blanca,Por costumbre,Preparada en carretilla,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:40:28,Femenino,19,45,155,Ingeniería Mecatrónica,5,25,7,10,Si,Sí,,1,Blanca,Por costumbre,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:40:30,Femenino,18,53,165,Ing Química,4,21,6,8,Si,Sí,,,,,,,,,,,,,
22/09/2023 16:40:54,Prefiero no decirlo,22,65,178,Industrial ,6,20,7,10,Si,Sí,,4,Blanca,Por costumbre,Mercado,3,En ideal cuando se hace deporte,3,3,Disminuye el cansancio,He mejorado mis niveles de colesterol y triglicéridos,"No es necesario incluirlo en nuestra dieta, ya hay mucho aliemntos que nos aportan lo mismo",
22/09/2023 16:41:06,Masculino,19,78,1.83,Ciencias de la computación ,4,20,6,14,Si,No,No me gusta el sabor,,,,,,,,,,,,
22/09/2023 16:41:15,Masculino,18,56,158,ING civil ,3,24,7,6,Si,Sí,,3,Blanca,Por sabor,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:41:22,Masculino,31,75,178,Energia,2,20,6,56,Si,No,No me gusta el sabor,1,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",1,"Aporta un alto contenido de proteinas, vitaminas y minerales",1,5,Me siento mas satisfecho en apetito,He notado mejorías en mi piel,No habría diferencia si lo incluyes en tu dieta o no,
22/09/2023 16:41:26,Masculino,18,66,177,Ing electronica,4,18,5,4,Si,Sí,,2,Roja,Por tradicion,,3,Ayuda a prevenir enfermedades,4,4,Me ayuda a estar más atento,He notado mejorías en mi piel,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
22/09/2023 16:41:27,Masculino,19,66,170,Ciencia de la computacion,5,18,5,10,Si,Sí,,2,Blanca,Por costumbre,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento esencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
